ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20782,HW128614,01/23/2013 10:07:00 PM,010XX N AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1112,011,27,23,01A,1150486,1906737,2013,03/11/2013 10:36:59 AM,41.899987629086844,-87.72270703020462,"(41.899987629086844, -87.72270703020462)"
20781,HW124411,01/20/2013 02:12:00 AM,020XX W 69TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0735,007,17,67,01A,1163756,1858520,2013,03/18/2013 10:53:04 AM,41.76740552263907,-87.6753226236463,"(41.76740552263907, -87.6753226236463)"
20778,HW122833,01/18/2013 09:31:00 PM,054XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,false,false,0934,009,16,61,01A,1167298,1868733,2013,01/19/2013 08:09:35 AM,41.795356174705965,-87.66204740732641,"(41.795356174705965, -87.66204740732641)"
20777,HW122808,01/18/2013 09:15:00 PM,055XX W NORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,false,false,2532,025,37,25,01A,1139483,1910134,2013,03/11/2013 10:35:43 AM,41.90951719168098,-87.76303884181692,"(41.90951719168098, -87.76303884181692)"
20776,HW121212,01/17/2013 05:57:00 PM,047XX W BELMONT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1731,017,30,15,01A,1143961,1920888,2013,03/16/2013 05:55:53 AM,41.93894436888271,-87.74631795764726,"(41.93894436888271, -87.74631795764726)"
20775,HW120241,01/17/2013 05:58:00 AM,048XX N KENNETH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1712,017,39,14,01A,1145859,1931898,2013,01/22/2013 12:36:46 PM,41.969120841519185,-87.73906165168896,"(41.969120841519185, -87.73906165168896)"
20772,HW117848,01/15/2013 01:42:00 PM,013XX S CHRISTIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,1021,010,24,29,01A,1154286,1893531,2013,01/28/2013 10:37:52 AM,41.86367395360258,-87.7091022912428,"(41.86367395360258, -87.7091022912428)"
20771,HW116450,01/14/2013 05:03:00 AM,052XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,false,false,1522,015,29,25,01A,1141701,1898134,2013,03/11/2013 10:35:12 AM,41.87654700052956,-87.75518779715173,"(41.87654700052956, -87.75518779715173)"
20770,HW115382,01/13/2013 02:49:00 AM,013XX S HARDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1011,010,24,29,01A,1150218,1893592,2013,01/28/2013 10:36:49 AM,41.86392154169005,-87.72403419621693,"(41.86392154169005, -87.72403419621693)"
20769,HW114144,01/11/2013 11:50:00 PM,024XX W AUGUSTA BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,1212,012,1,24,01A,1159751,1906616,2013,01/28/2013 10:36:21 AM,41.899469593258935,-87.68867973791475,"(41.899469593258935, -87.68867973791475)"
20768,HW113783,01/11/2013 06:41:00 PM,026XX S RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1031,010,22,30,01A,1151759,1886082,2013,01/28/2013 10:35:52 AM,41.843283047795786,-87.71857459067489,"(41.843283047795786, -87.71857459067489)"
20767,HW112875,01/11/2013 07:12:00 AM,004XX S 400,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1132,011,24,26,01A,1149754,1897706,2013,03/11/2013 10:34:47 AM,41.875219859899,-87.72563061732676,"(41.875219859899, -87.72563061732676)"
20765,HW112372,01/10/2013 10:15:00 PM,020XX E 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,5,43,01A,1191141,1858224,2013,01/28/2013 10:35:20 AM,41.7659745304054,-87.5749555865802,"(41.7659745304054, -87.5749555865802)"
20766,HW112637,01/10/2013 09:19:00 PM,063XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0726,007,15,67,01A,1165063,1862551,2013,02/27/2013 07:34:14 AM,41.7784395854475,-87.6704180040464,"(41.7784395854475, -87.6704180040464)"
20764,HW111381,01/10/2013 01:06:00 AM,001XX S 114,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1122,011,28,26,01A,1150370,1899203,2013,01/10/2013 08:19:26 AM,41.87931580421273,-87.7233298284072,"(41.87931580421273, -87.7233298284072)"
20773,HW100449,01/09/2013 09:15:00 AM,029XX W 40TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0921,009,14,58,01A,1157146,1878001,2013,01/28/2013 10:30:20 AM,41.82100029797136,-87.69902440410536,"(41.82100029797136, -87.69902440410536)"
20762,HW109671,01/08/2013 07:05:00 PM,013XX N SEDGWICK ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1821,018,27,8,01A,1173442,1909370,2013,01/28/2013 10:34:50 AM,41.90673340029729,-87.63831118583919,"(41.90673340029729, -87.63831118583919)"
20761,HW108847,01/08/2013 06:35:00 AM,040XX W WILCOX ST,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,1115,011,28,26,01A,1149468,1899070,2013,03/11/2013 10:34:05 AM,41.87896838202653,-87.72664530384661,"(41.87896838202653, -87.72664530384661)"
20759,HW107214,01/06/2013 08:00:00 PM,084XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,006,6,44,01A,1180349,1848990,2013,01/15/2013 11:00:23 AM,41.740889716410535,-87.61479422997515,"(41.740889716410535, -87.61479422997515)"
